table.names,attr.names,access.table,access.attr,mariadb.table,mariadb.attr,mariadb.table.dms,mariadb.attr.dms
acquisition_type,code,acquisition_type,code,acquisitiontype,code,acquisitiontype,code
acquisition_type,description,acquisition_type,description,acquisitiontype,description,acquisitiontype,description
flags,numsymbol,flags,numsymbol,flags,numSymbol,flags,numSymbol
flags,description,flags,description,flags,description,flags,description
flags,charsymbol,flags,charsymbol,flags,characterSymbol,flags,characterSymbol
instrument,instrument_name,instrument,instrument_name,instrument,instrumentName,instrument,instrumentName
instrument,manufacturer,instrument,manufacturer,instrument,manufacturer,instrument,manufacturer
instrument,id,instrument,id,instrument,instrumentId,instrument,instrumentId
instrument,type,instrument,type,instrument,model,instrument,model
instrument,NA,instrument,NA,instrument,serialNumber,instrument,serialNumber
instrument,NA,instrument,NA,instrument,abbreviation,instrument,abbreviation
instrument,NA,instrument,NA,instrument,instrumentUncertainty,instrument,instrumentUncertainty
instrument,NA,instrument,NA,instrument,installationDatetime,instrument,installationDatetime
instrument,NA,instrument,NA,instrument,deinstallationDatetime,instrument,deinstallationDatetime
instrument,NA,instrument,NA,instrument,height,instrument,height
instrument,NA,instrument,NA,instrument,instrumentPicture,instrument,instrumentPicture
instrument,NA,instrument,NA,instrument,installedAt,instrument,installedAt
obs_element,abbreviation,obs_element,abbreviation,obselement,abbreviation,obselement,abbreviation
obs_element,element_name,obs_element,element_name,obselement,elementName,obselement,elementName
obs_element,description,obs_element,description,obselement,description,obselement,description
obs_element,element_scale,obs_element,element_scale,obselement,elementScale,obselement,elementScale
obs_element,upper_limit,obs_element,upper_limit,obselement,upperLimit,obselement,upperLimit
obs_element,lower_limit,obs_element,lower_limit,obselement,lowerLimit,obselement,lowerLimit
obs_element,units,obs_element,units,obselement,units,obselement,units
obs_element,element_type,obs_element,element_type,obselement,elementtype,obselement,elementtype
obs_element,code,obs_element,code,obselement,elementId,obselement,elementId
obs_element,total,obs_element,total,obselement,qcTotalRequired,obselement,qcTotalRequired
obs_element,selected,obs_element,selected,obselement,NA,obselement,NA
paper_archive,belongs_to,paper_archive,belongs_to,paperarchive,belongsTo,paperarchive,belongsTo
paper_archive,image,paper_archive,image,paperarchive,image,paperarchive,image
paper_archive,code,paper_archive,code,paperarchive,NA,paperarchive,NA
paper_archive,yyyy,paper_archive,yyyy,paperarchive,NA,paperarchive,NA
paper_archive,mm,paper_archive,mm,paperarchive,NA,paperarchive,NA
paper_archive,dd,paper_archive,dd,paperarchive,NA,paperarchive,NA
paper_archive,NA,paper_archive,NA,paperarchive,formDatetime,paperarchive,formDatetime
paper_archive,NA,paper_archive,NA,paperarchive,classifiedInto,paperarchive,classifiedInto
paper_archive_definition,description,paper_archive_definition,description,paperarchivedefinition,description,paperarchivedefinition,description
paper_archive_definition,code,paper_archive_definition,code,paperarchivedefinition,formId,paperarchivedefinition,formId
qc_status_definition,description,qc_status_definition,description,qcstatusdefinition,description,qcstatusdefinition,description
qc_status_definition,qc_status,qc_status_definition,qc_status,qcstatusdefinition,NA,qcstatusdefinition,NA
qc_status_definition,NA,qc_status_definition,NA,qcstatusdefinition,code,qcstatusdefinition,code
qc_type,code,qc_type,code,qctype,code,qctype,code
qc_type,description,qc_type,description,qctype,description,qctype,description
seq_day,day,seq_day,day,seq_day,dd,seq_day,dd
seq_month,month,seq_month,month,seq_month,mm,seq_month,mm
seq_year,year,seq_year,year,seq_year,yyyy,seq_year,yyyy
station,station_name,station,station_name,station,stationName,station,stationName
station,country,station,country,station,country,station,country
station,authority,station,authority,station,authority,station,authority
station,id,station,id,station,stationId,station,stationId
station,qualifier,station,qualifier,station,NA,station,NA
station,NA,station,NA,station,latitude,station,latitude
station,NA,station,NA,station,longitude,station,longitude
station,NA,station,NA,station,elevation,station,elevation
station,NA,station,NA,station,geoLocationMethod,station,geoLocationMethod
station,NA,station,NA,station,geoLocationAccuracy,station,geoLocationAccuracy
station,NA,station,NA,station,openingDatetime,station,openingDatetime
station,NA,station,NA,station,closingDatetime,station,closingDatetime
station,district,station,district,station,adminRegion,station,adminRegion
station,NA,station,NA,station,drainageBasin,station,drainageBasin
station,NA,station,NA,station,wacaSelection,station,wacaSelection
station,NA,station,NA,station,cptSelection,station,cptSelection
station,NA,station,NA,station,stationOperational,station,stationOperational
stationelement,recorded_from,stationelement,recorded_from,stationelement,recordedFrom,stationelement,recordedFrom
stationelement,described_by,stationelement,described_by,stationelement,describedBy,stationelement,describedBy
stationelement,recorded_with,stationelement,recorded_with,stationelement,recordedWith,stationelement,recordedWith
stationelement,scheduled_for,stationelement,scheduled_for,stationelement,scheduledFor,stationelement,scheduledFor
stationelement,height,stationelement,height,stationelement,height,stationelement,height
stationelement,begindate,stationelement,begindate,stationelement,beginDate,stationelement,beginDate
stationelement,enddate,stationelement,enddate,stationelement,endDate,stationelement,endDate
stationid_alias,id_alias,stationid_alias,id_alias,stationidalias,idAlias,stationidalias,idAlias
stationid_alias,refers_to,stationid_alias,refers_to,stationidalias,refersTo,stationidalias,refersTo
stationid_alias,belongs_to,stationid_alias,belongs_to,stationidalias,belongsTo,stationidalias,belongsTo
stationid_alias,NA,stationid_alias,NA,stationidalias,idAliasBeginDate,stationidalias,idAliasBeginDate
stationid_alias,NA,stationid_alias,NA,stationidalias,idAliasEndDate,stationidalias,idAliasEndDate
observation,recorded_from,observation,recorded_from,observationinitial,recordedFrom,observationfinal,recordedFrom
observation,described_by,observation,described_by,observationinitial,describedBy,observationfinal,describedBy
observation,obs_value,observation,obs_value,observationinitial,obsValue,observationfinal,obsValue
observation,flag,observation,flag,observationinitial,flag,observationfinal,flag
observation,period,observation,period,observationinitial,period,observationfinal,period
observation,qc_status,observation,qc_status,observationinitial,qcStatus,observationfinal,qcStatus
observation,qc_type_log,observation,qc_type_log,observationinitial,qcTypeLog,observationfinal,qcTypeLog
observation,acquisition_type,observation,acquisition_type,observationinitial,acquisitionType,observationfinal,acquisitionType
observation,data_form,observation,data_form,observationinitial,dataForm,observationfinal,dataForm
observation,captured_by,observation,captured_by,observationinitial,capturedBy,observationfinal,capturedBy
observation,mark,observation,mark,observationinitial,mark,observationfinal,mark
observation,recorded_at,observation,recorded_at,observationinitial,obsDatetime,observationfinal,obsDatetime
observation,made_at,observation,made_at,observationinitial,obsLevel,observationfinal,obsLevel
observation,NA,observation,NA,observationinitial,temperatureUnits,observationfinal,temperatureUnits
observation,NA,observation,NA,observationinitial,precipitationUnits,observationfinal,precipitationUnits
observation,NA,observation,NA,observationinitial,cloudHeightUnits,observationfinal,cloudHeightUnits
observation,NA,observation,NA,observationinitial,visUnits,observationfinal,visUnits
observation,NA,observation,NA,observationinitial,dataSourceTimeZone,observationfinal,dataSourceTimeZone
station_location,latitude,station_location,latitude,stationlocationhistory,latitude,station,latitude
station_location,longitude,station_location,longitude,stationlocationhistory,longitude,station,longitude
station_location,elevation,station_location,elevation,stationlocationhistory,elevation,station,elevation
station_location,drainagebasin,station_location,drainagebasin,stationlocationhistory,drainageBasin,stationlocationhistory,drainageBasin
station_location,occupied_by,station_location,occupied_by,stationlocationhistory,belongsTo,stationlocationhistory,belongsTo
station_location,begin_datetime,station_location,begin_datetime,stationlocationhistory,openingDatetime,stationlocationhistory,openingDatetime
station_location,end_datetime,station_location,end_datetime,stationlocationhistory,closingDatetime,stationlocationhistory,closingDatetime
station_location,NA,station_location,NA,stationlocationhistory,stationType,stationlocationhistory,stationType
station_location,NA,station_location,NA,stationlocationhistory,geoLocationMethod,stationlocationhistory,geoLocationMethod
station_location,NA,station_location,NA,stationlocationhistory,geoLocationAccuracy,stationlocationhistory,geoLocationAccuracy
station_location,NA,station_location,NA,stationlocationhistory,authority,stationlocationhistory,authority
station_location,NA,station_location,NA,stationlocationhistory,adminRegion,stationlocationhistory,adminRegion
